File Name,Pre-compression Entropy,Post-compression Entropy
data/1c37fd0e-1c6b-4d84-9108-1adbf8ae3f91.wav,4.871875,7.942323
data/1c6bf8b8-7bef-439d-ab17-cd338288e977.wav,4.126632,7.955464
data/1cd57a9e-f016-41c9-9b19-7e1326454de7.wav,4.686862,7.950558
data/1cf09880-83f7-4558-9a18-2b843408d622.wav,4.938100,7.945172
data/1d21e7b7-5eb9-42b0-a576-d6dff31c001c.wav,6.052788,7.949881
data/1db81462-4597-4cee-846b-b5cc0940bcf9.wav,5.313280,7.951563
data/1dfc692a-71e4-4240-a804-4ccd9d1357e1.wav,5.992462,7.942962
data/1e71f8d8-bae0-4970-929a-58e77df87103.wav,4.565279,7.943878
data/1fb45d27-5f79-4e5f-9b4f-11adf77bd495.wav,5.742892,7.936026
data/20093702-4470-4eb8-94ed-1ef923726ba1.wav,5.871203,7.950331
data/20203eb1-e45d-41c3-bba2-708c96f143bb.wav,4.856595,7.935962
data/20824c82-39cf-47f1-a71a-9d61e0f3601a.wav,4.278421,7.954988
data/209648c9-c6c6-4b87-b44b-20b29744da99.wav,4.424105,7.941042
data/212cc3ec-d36c-4437-accb-e75b03ea5849.wav,5.137158,7.944760
data/2140cbd0-ee0b-4566-9bad-f100b5b7f6b8.wav,5.328521,7.941549
data/214224f7-01e9-4b3a-9e12-55fc5706ea41.wav,5.153018,7.951249
data/218db45e-3818-469d-8eeb-4c35e39f63c1.wav,4.373580,7.962709
data/21971bfe-11e5-4b1b-a213-2d963f41a30a.wav,5.643060,7.942664
data/21b7260c-4054-4a67-983c-bb8c3c98fc98.wav,4.714082,7.959189
data/21d49517-5a31-43d1-bb5f-433b2951b7d1.wav,5.741871,7.952457
data/227ddafb-452b-4255-8ace-433872cac40b.wav,5.756570,7.956672
data/234d006b-0101-4228-95a4-7540525d2ebc.wav,5.470005,7.950813
data/23b3073f-3fa5-481a-a950-27df33e4d878.wav,4.741415,7.949650
data/23d11475-3e3d-446f-9fdb-58c7ea7c8166.wav,5.469509,7.941191
data/23f0c651-a0db-4f7a-89f4-acd2c35e04dc.wav,5.935214,7.935832
data/24104b38-32fb-486a-a0a9-a964d6699b9d.wav,4.553916,7.960624
data/242413fd-ddff-4a06-9b36-a373566e6e45.wav,5.035476,7.956374
data/2458a5be-c274-4fd3-82f6-4617caeaeb14.wav,4.409944,7.953144
data/2458b656-86a4-41d8-92c3-4c7c59ad5785.wav,5.013399,7.958863
data/24bc203a-0fe0-4b44-8c9b-982404799344.wav,4.754322,7.954135
data/254000d9-9fd8-43a0-a561-c81a6feee649.wav,5.726284,7.932544
data/25ad5045-179a-4b20-a0a6-9d3ab35c476c.wav,5.007032,7.957807
data/25c532c4-1494-47a4-901e-5fcea3492038.wav,5.654195,7.951108
data/25f747d9-8619-4bac-9cdf-2e6979ae338b.wav,5.141927,7.950086
data/25f79305-22a6-49f2-8c9b-0a0e9ef5d539.wav,4.697618,7.956167
data/26205e98-f416-4cf4-81c3-adcb646fffb8.wav,4.389460,7.941257
data/26b2ca81-4399-4fa9-80e0-7fbb3988d784.wav,5.982789,7.939265
data/2764192e-4ba8-49c1-848f-608b6d7c642d.wav,6.713519,7.961662
data/28cd0f1e-bc90-46ac-8f09-56fe0a7a7937.wav,4.998290,7.953042
data/2908e5a8-7668-43ed-a5be-caa2822f52ba.wav,4.675069,7.955014
data/29624bf2-8cf6-404f-934f-7824ec420544.wav,4.533311,7.950751
data/2985450f-b117-4a49-adb1-73a7a0118505.wav,4.959788,7.956403
data/2a42a79d-af6e-4d60-bf4f-672e99dd90d8.wav,5.006155,7.959969
data/2a661247-dfa0-42b2-9d0a-a5925ac8735a.wav,4.511641,7.949051
data/2b1627e1-85a5-4155-ba52-4400e036b034.wav,5.192503,7.946272
data/2b3fa930-47b0-4358-8971-3dcd9c8fd0c1.wav,5.366361,7.975819
data/2b883101-d7fc-482d-8566-8a61f7338ab3.wav,4.512976,7.949432
data/2c64a381-8d2c-416c-bc75-ed47ec9eeba3.wav,5.468325,7.963555
data/2c96ae4e-9d50-4d68-8756-a27bfe524812.wav,5.575201,7.951159
data/2d8b941a-3ff9-41eb-917c-10fa16ebffee.wav,4.818478,7.939892
data/2d910bad-e8ae-4ef5-a080-bf7efde42adf.wav,4.139424,7.944314
data/2dab120f-5bc3-4c75-b49f-2a28fbd3a05a.wav,5.182635,7.951031
data/2daf7e7e-c634-4fa8-9c13-3b47e055ad48.wav,4.538461,7.947156
data/2e2725e5-c7ef-4ef7-9ec0-d24944e6d1d8.wav,5.255269,7.952241
data/2ed39ebf-8977-446b-a8c8-3e66bd4d4580.wav,4.528995,7.943915
data/2eef5d4d-93d1-4c0e-9d23-0989abaa34d0.wav,5.309004,7.945507
data/30179ac2-f5a7-436e-8393-651dcf8a5d7b.wav,4.879142,7.956316
data/30dee5fe-ded7-4978-9480-e40155e7b060.wav,5.524477,7.951872
data/312b2c93-0838-412d-b408-63c9cf74adf9.wav,5.751132,7.945111
data/3179ab62-2b34-456b-91b5-d9a99d4c78e8.wav,5.208250,7.966592
data/31827810-e5d6-4647-8d72-8d0fe63ce83e.wav,5.202441,7.944527
data/3191b268-0a7a-46d5-a801-0da511379469.wav,5.881728,7.946595
data/31df8ceb-a246-4e1c-a979-c871494e103c.wav,5.577891,7.947853
data/31fe1b06-79fa-41b2-9715-c4224d48fee8.wav,5.240042,7.942084
data/333f3c44-f06e-439b-b6d4-3f33272b6e00.wav,5.117406,7.955192
